"iata","airport"
"BKE","Baker City Municipal Airport"
"BKF","Lake Brooks Seaplane Base"
"BKG","Branson Airport"
"BKH","Barking Sands PMRF"
"BKI","Kota Kinabalu International Airport"
"BKJ","Boke Baralande Airport"
"BKK","Suvarnabhumi Airport"
"BKL","Cleveland Burke Lakefront Airport"
"BKM","Bakelalan Airport"
"BKN","Balkanabat Airport"
"BKO","Bamako-Senou International Airport"
"BKP","Barkly Downs Airport"
"BKQ","Blackall Airport"
"BKR","Bokoro Airport"
"BKS","Fatmawati Soekarno Airport"
"BKT","Blackstone Army Airfield (Allen C. Perkinson Airport)"
"BKU","Betioky Airport"
"BKW","Raleigh County Memorial Airport"
"BKX","Brookings Regional Airport"
"BKY","Kavumu Airport"
"BKZ","Bukoba Airport"
"BLA","General Jose Antonio Anzoategui International Airport"
"BLB","Panama Pacifico International Airport"
"BLC","Bali Airport"
"BLD","Boulder City Municipal Airport"
"BLE","Dala Airport (Borlange Airport)"
"BLF","Mercer County Airport"
"BLG","Belaga Airport"
"BLH","Blythe Airport"
"BLI","Bellingham International Airport"
"BLJ","Mostepha Ben Boulaid Airport"
"BLK","Blackpool Airport"
"BLL","Billund Airport"
"BLM","Monmouth Executive Airport"
"BLN","Benalla Airport"
"BLO","Blonduos Airport"
"BLP","Huallaga Airport"
"BLQ","Bologna Guglielmo Marconi Airport"
"BLR","Kempegowda International Airport"
"BLS","Bollon Airport"
"BLT","Blackwater Airport"
"BLU","Blue Canyon-Nyack Airport"
"BLV","MidAmerica St. Louis Airport / Scott Air Force Base"
"BLX","Belluno Airport"
"BLY","Belmullet Aerodrome"
"BLZ","Chileka International Airport"
"BMB","Bumba Airport"
"BMC","Brigham City Airport"
"BMD","Belo sur Tsiribihina Airport"
"BME","Broome International Airport"
"BMF","Bakouma Airport"
"BMG","Monroe County Airport"
"BMH","Bomai Airport"
"BMI","Central Illinois Regional Airport"
"BMJ","Baramita Airport"
"BMK","Borkum Airfield"
"BML","Berlin Regional Airport"
"BMM","Bitam Airport"
"BMN","Bamarni Airport"
"BMO","Bhamo Airport"
"BMP","Brampton Island Airport"
"BMQ","Bamburi Airport"
"BMR","Baltrum Airport"
"BMS","Socrates Mariani Bittencourt Airport"
"BMT","Beaumont Municipal Airport"
"BMU","Sultan Muhammad Salahudin Airport (Bima Airport)"
"BMV","Buon Ma Thuot Airport"
"BMW","Bordj Mokhtar Airport"
"BMX","Big Mountain Air Force Station"
"BMY","Ile Art - Waala Airport"
"BMZ","Bamu Airport"
"BNA","Nashville International Airport"
"BNB","Boende Airport"
"BNC","Beni Airport"
"BND","Bandar Abbas International Airport"
"BNE","Brisbane Airport"
"BNF","Warm Springs Bay Seaplane Base"
"BNG","Banning Municipal Airport"
"BNI","Benin Airport"
"BNK","Ballina Byron Gateway Airport"
"BNL","Barnwell Regional Airport"
"BNM","Bodinumu Airport"
"BNN","Bronnoysund Airport"
"BNO","Burns Municipal Airport"
"BNP","Bannu Airport"
"BNQ","Baganga Airport"
"BNR","Banfora Airport"
"BNS","Barinas Airport"
"BNT","Bundi Airport"
"BNU","Blumenau Airport"
"BNV","Boana Airport"
"BNW","Boone Municipal Airport"
"BNX","Banja Luka International Airport"
"BNY","Bellona/Anua Airport"
"BNZ","Banz Airport"
"BOA","Boma Airport"
"BOB","Bora Bora Airport (Motu Mute Airport)"
"BOC","Bocas del Toro Isla Colon International Airport"
"BOD","Bordeaux-Merignac Airport"
"BOE","Boundji Airport"
"BOG","El Dorado International Airport"
"BOH","Bournemouth Airport"
"BOI","Boise Air Terminal (Gowen Field)"
"BOJ","Burgas Airport"
"BOK","Brookings Airport"
"BOL","Ballykelly Airfield (RAF Ballykelly)"
"BOM","Chhatrapati Shivaji International Airport"
"BON","Flamingo International Airport"
"BOO","Bodo Airport"
"BOP","Bouar Airport"
"BOQ","Boku Airport"
"BOS","Logan International Airport"
"BOT","Bosset Airport"
"BOU","Bourges Airport"
"BOV","Boang Island Airport"
"BOW","Bartow Municipal Airport"
"BOX","Borroloola Airport"
"BOY","Bobo Dioulasso Airport"
"BOZ","Bozoum Airport"
"BPB","Boridi Airport"
"BPC","Bamenda Airport"
"BPD","Bapi Airport"
"BPE","Qinhuangdao Beidaihe Airport"
"BPF","Batuna Airport"
"BPG","Barra do Garcas Airport"
"BPH","Bislig Airport"
"BPI","Miley Memorial Field"
"BPK","Biangabip Airport"
"BPL","Bole Alashankou Airport"
"BPM","Begumpet Airport"
"BPN","Sultan Aji Muhammad Sulaiman Airport"
"BPS","Porto Seguro Airport"
"BPT","Jack Brooks Regional Airport"
"BPX","Qamdo Bamda Airport"
"BPY","Besalampy Airport"
"BQA","Dr. Juan C. Angara Airport"
"BQB","Busselton Regional Airport"
"BQE","Bubaque Airport"
"BQG","Bogorodskoye Airport"
"BQH","London Biggin Hill Airport"
"BQI","Bagani Airport"
"BQJ","Batagay Airport"
"BQK","Brunswick Golden Isles Airport"
"BQL","Boulia Airport"
"BQN","Rafael Hernandez Airport"
"BQO","Tehini Airport"
"BQQ","Barra Airport (Brazil)"
"BQS","Ignatyevo Airport"
"BQT","Brest Airport"
"BQU","J. F. Mitchell Airport"
"BQV","Bartlett Cove Seaplane Base"
"BQW","Balgo Hill Airport"
"BRA","Barreiras Airport"
"BRB","Barreirinhas Airport"
"BRC","San Carlos de Bariloche Airport"
"BRD","Brainerd Lakes Regional Airport"
"BRE","Bremen Airport"
"BRH","Brahman Airport"
"BRI","Bari Karol Wojtyla Airport"
"BRJ","Bright Airport"
"BRK","Bourke Airport"
"BRL","Southeast Iowa Regional Airport"
"BRM","Jacinto Lara International Airport"
"BRN","Bern Airport"
"BRO","Brownsville/South Padre Island International Airport"
"BRP","Biaru Airport"
"BRQ","Brno-Turany Airport"
"BRR","Barra Airport"
"BRS","Bristol Airport"
"BRT","Bathurst Island Airport"
"BRU","Brussels Airport (Zaventem Airport)"
"BRV","Bremerhaven Airport"
"BRW","Wiley Post-Will Rogers Memorial Airport"
"BRX","Maria Montez International Airport"
"BRY","Samuels Field"
"BSA","Bender Qassim International Airport"
"BSB","Brasilia International Airport (Presidente J. Kubitschek Int'l Airport)"
"BSC","Jose Celestino Mutis Airport"
"BSD","Baoshan Yunduan Airport"
"BSE","Sematan Airport"
"BSF","Bradshaw Army Airfield"
"BSG","Bata Airport"
"BSI","Balesin Airport"
"BSJ","Bairnsdale Airport"
"BSK","Biskra Airport"
"BSL","EuroAirport Basel Mulhouse Freiburg"
"BSM","Bishe Kola Air Base"
"BSN","Bossangoa Airport"
"BSO","Basco Airport"
"BSP","Bensbach Airport"
"BSQ","Bisbee Municipal Airport"
"BSR","Basra International Airport"
"BSS","Balsas Airport"
"BST","Bost Airport"
"BSU","Basankusu Airport"
"BSV","Besakoa Airport"
"BSW","Boswell Bay Airport"
"BSX","Pathein Airport"
"BSY","Bardera Airport"
"BTA","Bertoua Airport"
"BTB","Betou Airport"
"BTC","Batticaloa Airport"
"BTD","Brunette Downs Airport"
"BTE","Sherbro International Airport"
"BTF","Skypark Airport"
"BTG","Batangafo Airport"
"BTH","Hang Nadim Airport"
"BTI","Barter Island LRRS Airport"
"BTJ","Sultan Iskandar Muda International Airport"
"BTK","Bratsk Airport"
"BTL","W. K. Kellogg Airport"
"BTM","Bert Mooney Airport"
"BTN","Marlboro County Jetport"
"BTO","Botopasi Airstrip"
"BTP","Butler County Airport (K.W. Scholter Field)"
"BTQ","Butare Airport"
"BTR","Baton Rouge Metropolitan Airport (Ryan Field)"
"BTS","M. R. Stefanik Airport"
"BTT","Bettles Airport"
"BTU","Bintulu Airport"
"BTV","Burlington International Airport"
"BTW","Batu Licin Airport"
"BTX","Betoota Airport"
"BTY","Beatty Airport"
"BTZ","Bursa Airport"
"BUA","Buka Island Airport"
"BUB","Cram Field"
"BUC","Burketown Airport"
"BUD","Budapest Ferenc Liszt International Airport"
"BUF","Buffalo Niagara International Airport"
"BUG","Benguela Airport (Gen. V. Deslandes Airport)"
"BUI","Bokondini Airport"
"BUJ","Bou Saada Airport"
"BUK","Albuq Airport"
"BUL","Bulolo Airport"
"BUM","Butler Memorial Airport"
"BUN","Gerardo Tobar Lopez Airport"
"BUO","Burao Airport"
"BUP","Bathinda Airport (Bhisiana Air Force Station)"
"BUQ","Joshua Mqabuko Nkomo International Airport"
"BUR","Bob Hope Airport"
"BUS","Batumi International Airport (Alexander Kartveli Batumi Int'l Airport)"
"BUT","Bathpalathang Airport"
"BUU","Muara Bungo Airport"
"BUV","Placeres Airport"
"BUW","Betoambari Airport"
"BUX","Bunia Airport"
"BUY","Bunbury Airport"
"BUZ","Bushehr Airport"
"BVA","Beauvais–Tillé Airport"
"BVB","Boa Vista International Airport"
"BVC","Aristides Pereira International Airport (Rabil Airport)"
"BVE","Brive-Souillac Airport"
"BVF","Dama Airport"
"BVG","Berlevag Airport"
"BVH","Vilhena Airport (Brigadeiro Camarao Airport)"
"BVI","Birdsville Airport"
"BVJ","Bovanenkovo Airport"
"BVK","Huacaraje Airport"
"BVL","Baures Airport"
"BVM","Belmonte Airport"
"BVO","Bartlesville Municipal Airport"
"BVP","Bolovip Airport"
"BVR","Esperadinha Airport"
"BVS","Breves Airport"
"BVU","Beluga Airport"
"BVV","Burevestnik Airport"
"BVW","Batavia Downs Airport"
"BVX","Batesville Regional Airport"
"BVY","Beverly Municipal Airport"
"BVZ","Beverley Springs Airport"
"BWA","Gautam Buddha Airport"
"BWB","Barrow Island Airport"
"BWC","Brawley Municipal Airport"
"BWD","Brownwood Regional Airport"
"BWE","Braunschweig-Wolfsburg Airport"
"BWF","Barrow/Walney Island Airport"
"BWG","Bowling Green-Warren County Regional Airport"
"BWH","RMAF Butterworth"
"BWI","Baltimore/Washington International Airport"
"BWJ","Bawan Airport"
"BWK","Bol Airport (Brac Airport)"
"BWL","Blackwell-Tonkawa Municipal Airport"
"BWM","Bowman Municipal Airport"
"BWN","Brunei International Airport"
"BWO","Balakovo Airport"
"BWP","Bewani Airport"
"BWQ","Brewarrina Airport"
"BWT","Burnie Airport"
"BWU","Bankstown Airport"
"BWW","Las Brujas Airport"
"BWX","Blimbingsari Airport"
"BXA","George R. Carr Memorial Air Field"
"BXB","Babo Airport"
"BXD","Bade Airport"
"BXE","Bakel Airport"
"BXF","Bellburn Airstrip"
"BXG","Bendigo Airport"
"BXH","Balkhash Airport"
"BXI","Boundiali Airport"
"BXJ","Boraldai Airport"
"BXK","Buckeye Municipal Airport"
"BXL","Blue Lagoon Seaplane Base"
"BXM","Batom Airport"
"BXN","Bodrum-Imsik Airport"
"BXO","Buochs Airport"
"BXP","Biala Podlaska Airport"
"BXR","Bam Airport"
"BXS","Borrego Valley Airport"
"BXT","PT Badak Bontang Airport"
"BXU","Bancasi Airport"
"BXV","Breiodalsvik Airport"
"BXW","Bawean Airport"
"BXX","Borama Airport"
"BXY","Krayniy Airport"
"BXZ","Bunsil Airport"
"BYA","Boundary Airport"
"BYB","Dibba Airport"
"BYC","Yacuiba Airport"
"BYD","Al Bayda Airport"
"BYF","Albert - Picardie Airport"
"BYG","Johnson County Airport"
"BYH","Arkansas International Airport"
"BYI","Burley Municipal Airport"
"BYJ","Beja Airport"
"BYK","Bouake Airport"
"BYL","Bella Yella Airport"
"BYM","Carlos Manuel de Cespedes Airport"
"BYN","Bayankhongor Airport"
"BYO","Bonito Airport"
"BYP","Barimunya Airport"
"BYQ","Bunyu Airport"
"BYR","Laesoe Airport"
"BYS","Bicycle Lake Army Airfield (Fort Irwin)"
"BYT","Bantry Aerodrome"
"BYU","Bindlacher Berg Airport"
"BYV","Beira Lake Seaplane Base"
"BYW","Blakely Island Airport"
"BYX","Baniyala Airport"
"BZA","San Pedro Airport"
"BZB","Bazaruto Island Airport"
"BZC","Umberto Modiano Airport"
"BZD","Balranald Airport"
"BZE","Philip S. W. Goldson International Airport"
"BZF","Benton Field"
"BZG","Bydgoszcz Ignacy Jan Paderewski Airport"
"BZH","Bumi Hills Airstrip"
"BZI","Balikesir Airport (Merkez Airport)"
"BZK","Bryansk International Airport"
"BZL","Barisal Airport"
"BZM","Bemolanga Airport"
"BZN","Bozeman Yellowstone International Airport (Gallatin Field)"
"BZO","Bolzano Airport"
"BZP","Bizant Airport"
"BZR","Beziers Cap d'Agde Airport"
"BZT","Eagle Air Park"
"BZU","Buta Zega Airport"
"BZV","Maya-Maya Airport"
"BZX","Bazhong Enyang Airport"
"BZY","Balti International Airport"
"BZZ","RAF Brize Norton"
"CAA","El Aguacate Airport"
"CAB","Cabinda Airport"
"CAC","Cascavel Airport (Adalberto Mendes da Silva Airport)"
"CAD","Wexford County Airport"
"CAE","Columbia Metropolitan Airport"
"CAF","Carauari Airport"
"CAG","Cagliari Elmas Airport"
"CAH","Ca Mau Airport"
"CAI","Cairo International Airport"
"CAJ","Canaima Airport"
"CAK","Akron-Canton Airport"
"CAL","Campbeltown Airport / RAF Machrihanish"
"CAM","Camiri Airport"
"CAN","Guangzhou Baiyun International Airport"
"CAO","Clayton Municipal Airpark"
"CAP","Hugo Chavez International Airport"
"CAQ","Juan H. White Airport"
"CAR","Caribou Municipal Airport"
"CAS","Anfa Airport"
"CAT","Cascais Municipal Aerodrome"
"CAU","Caruaru Airport (Oscar Laranjeiras Airport)"
"CAV","Cazombo Airport"
"CAW","Bartolomeu Lysandro Airport"
"CAX","Carlisle Lake District Airport"
"CAY","Cayenne - Felix Eboue Airport"
"CAZ","Cobar Airport"
"CBB","Jorge Wilstermann International Airport"
"CBC","Cherrabun Airport"
"CBD","Car Nicobar Air Force Base"
"CBE","Greater Cumberland Regional Airport"
"CBF","Council Bluffs Municipal Airport"
"CBG","Cambridge Airport"
"CBH","Boudghene Ben Ali Lotfi Airport"
"CBI","Cape Barren Island Airport"
"CBJ","Cabo Rojo Airport"
"CBK","Colby Municipal Airport (Shalz Field)"
"CBL","Tomas de Heres Airport"
"CBM","Columbus Air Force Base"
"CBN","Penggung Airport (Cakrabuwana Airport)"
"CBO","Awang Airport"
"CBP","Coimbra Airport"
"CBQ","Margaret Ekpo International Airport"
"CBR","Canberra Airport"
"CBS","Oro Negro Airport"
"CBT","Catumbela Airport"
"CBU","Cottbus-Drewitz Airport"
"CBV","Coban Airport"
"CBW","Campo Mourao Airport"
"CBX","Condobolin Airport"
"CBY","Canobie Airport"
"CCA","Chimore Airport"
"CCB","Cable Airport"
"CCC","Jardines del Rey Airport"
"CCF","Carcassonne Airport"
"CCG","Crane County Airport"
"CCH","Chile Chico Airfield"
"CCI","Concordia Airport"
"CCJ","Calicut International Airport"
"CCK","Cocos (Keeling) Islands Airport"
"CCL","Chinchilla Airport"
"CCM","Diomicio Freitas Airport"
"CCN","Chaghcharan Airport"
"CCO","Carimagua Airport"
"CCP","Carriel Sur International Airport"
"CCR","Buchanan Field Airport"
"CCS","Simon Bolivar International Airport"
"CCT","Colonia Catriel Airport"
"CCU","Netaji Subhas Chandra Bose International Airport"
"CCV","Craig Cove Airport"
"CCW","Cowell Airport"
"CCX","Caceres Airport"
"CCY","Northeast Iowa Regional Airport"
"CCZ","Chub Cay International Airport"
"CDA","Cooinda Airport"
"CDB","Cold Bay Airport"
"CDC","Cedar City Regional Airport"
"CDD","Cauquira Airport"
"CDE","Chengde Puning Airport"
"CDG","Paris Charles de Gaulle Airport"
"CDH","Harrell Field"
"CDI","Cachoeiro de Itapemirim Airport (Raimundo de Andrade Airport)"
"CDJ","Conceicao do Araguaia Airport"
"CDK","George T. Lewis Airport"
"CDL","Candle 2 Airport"
"CDN","Woodward Field"
"CDO","Cradock Airport"
"CDP","Kadapa Airport"
"CDQ","Croydon Airport"
"CDR","Chadron Municipal Airport"
"CDS","Childress Municipal Airport"
"CDT","Castellon-Costa Azahar Airport"
"CDU","Camden Airport"
"CDV","Merle K. (Mudhole) Smith Airport"
"CDW","Essex County Airport"
"CDY","Cagayan de Sulu Airport"
"CEA","Cessna Aircraft Field"
"CEB","Mactan-Cebu International Airport"
"CEC","Del Norte County Airport (Jack McNamara Field)"
"CED","Ceduna Airport"
"CEE","Cherepovets Airport"
"CEG","Hawarden Airport (Chester Airport)"
"CEH","Chelinda Airport"
"CEI","Chiang Rai International Airport (Mae Fah Luang Int'l)"
"CEJ","Chernihiv Airport"
"CEK","Chelyabinsk Airport"
"CEL","Canela Airport"
"CEM","Central Airport"
"CEN","Ciudad Obregon International Airport"
"CEO","Waco Kungo Airport"
"CEP","Concepcion Airport"
"CEQ","Cannes - Mandelieu Airport"
"CER","Cherbourg - Maupertus Airport"
"CES","Cessnock Airport"
"CET","Cholet Le Pontreau Airport"
"CEU","Oconee County Regional Airport"
"CEV","Mettel Field"
"CEW","Bob Sikes Airport"
"CEX","Chena Hot Springs Airport"
"CEY","Murray-Calloway County Airport"
"CEZ","Cortez Municipal Airport"
"CFB","Cabo Frio International Airport"
"CFC","Cacador Airport"
"CFD","Coulter Field"
"CFE","Clermont-Ferrand Auvergne Airport"
"CFF","Cafunfo Airport"
"CFG","Jaime Gonzalez Airport"
"CFH","Clifton Hills Airport"
"CFI","Camfield Airport"
"CFK","Chlef International Airport"
"CFN","Donegal Airport"
"CFO","Confresa Airport"
"CFP","Carpentaria Downs Airport"
"CFQ","Creston Aerodrome"
"CFR","Caen - Carpiquet Airport"
"CFS","Coffs Harbour Airport"
"CFT","Greenlee County Airport"
"CFU","Corfu International Airport (Ioannis Kapodistrias Int'l Airport)"
"CFV","Coffeyville Municipal Airport"
"CGA","Craig Seaplane Base"
"CGB","Marechal Rondon International Airport"
"CGC","Cape Gloucester Airport"
"CGD","Changde Taohuayuan Airport"
"CGE","Cambridge-Dorchester Airport"
"CGF","Cuyahoga County Airport"
"CGG","Casiguran Airport"
"CGI","Cape Girardeau Regional Airport"
"CGJ","Kasompe Airport"
"CGK","Soekarno–Hatta International Airport"
"CGM","Camiguin Airport"
"CGN","Cologne Bonn Airport"
"CGO","Zhengzhou Xinzheng International Airport"
"CGP","Shah Amanat International Airport"
"CGQ","Changchun Longjia International Airport"
"CGR","Campo Grande International Airport"
"CGS","College Park Airport"
"CGT","Chinguetti Airport"
"CGV","Caiguna Airport"
"CGY","Laguindingan Airport"
"CGZ","Casa Grande Municipal Airport"
"CHA","Chattanooga Metropolitan Airport (Lovell Field)"
"CHB","Chilas Airport"
"CHC","Christchurch International Airport"
"CHF","Jinhae Airport"
"CHG","Chaoyang Airport"
"CHH","Chachapoyas Airport"
"CHJ","Chipinge Airport"
"CHK","Chickasha Municipal Airport"
"CHL","Challis Airport"
"CHM","Tnte. FAP Jaime Montreuil Morales Airport"
"CHN","Jeonju Airport"
"CHO","Charlottesville-Albemarle Airport"
"CHP","Circle Hot Springs Airport"
"CHQ","Chania International Airport"
"CHR","Chateauroux-Centre Marcel Dassault Airport"
"CHS","Charleston International Airport / Charleston Air Force Base"
"CHT","Chatham Islands / Tuuta Airport"
"CHU","Chuathbaluk Airport"
"CHV","Chaves Airport"
"CHX","Changuinola Capitan Manuel Nino International Airport"
"CHY","Choiseul Bay Airport"
"CHZ","Chiloquin State Airport"
"CIC","Chico Municipal Airport"
"CID","The Eastern Iowa Airport"
"CIE","Collie Airport"
"CIF","Chifeng Yulong Airport"
"CIG","Craig-Moffat Airport"
"CIH","Changzhi Wangcun Airport"
"CII","Aydin Airport (Cildir Airport)"
"CIJ","Captain Anibal Arab Airport"
"CIK","Chalkyitsik Airport"
"CIL","Council Airport"
"CIM","Cimitarra Airport"
"CIN","Arthur N. Neu Airport"
"CIO","Teniente Coronel Carmelo Peralta Airport"
"CIP","Chipata Airport"
"CIQ","Chiquimula Airport"
"CIR","Cairo Regional Airport"
"CIS","Canton Island Airport"
"CIT","Shymkent International Airport"
"CIU","Chippewa County International Airport"
"CIW","Canouan Airport"
"CIX","FAP Captain Jose Abelardo Quinones Gonzales International Airport"
"CIY","Comiso Airport"
"CIZ","Coari Airport"
"CJA","Mayor General FAP Armando Revoredo Iglesias Airport"
"CJB","Coimbatore International Airport"
"CJC","El Loa Airport"
"CJD","Candilejas Airport"
"CJF","Coondewanna Airport"
"CJH","Chilko Lake (Tsylos Park Lodge) Aerodrome"
"CJJ","Cheongju International Airport"
"CJL","Chitral Airport"
"CJM","Chumphon Airport"
"CJN","Cijulang Nusawiru Airport"
"CJS","Abraham Gonzalez International Airport"
"CJT","Copalar Airport"
"CJU","Jeju International Airport"
"CKA","Kegelman Air Force Auxiliary Field"
"CKB","North Central West Virginia Airport"
"CKC","Cherkasy International Airport"
"CKD","Crooked Creek Airport"
"CKE","Lampson Field"
"CKG","Chongqing Jiangbei International Airport"
"CKH","Chokurdakh Airport"
"CKI","Croker Island Airport"
"CKK","Sharp County Regional Airport"
"CKL","Chkalovsky Airport"
"CKM","Fletcher Field"
"CKN","Crookston Municipal Airport (Kirkwood Field)"
"CKO","Cornelio Procopio Airport"
"CKR","Crane Island Airstrip"
"CKS","Carajas Airport"
"CKT","Sarakhs Airport"
"CKU","Cordova Municipal Airport"
"CKV","Clarksville-Montgomery County Regional Airport (Outlaw Field)"
"CKW","Christmas Creek Mine Airport"
"CKX","Chicken Airport"
"CKY","Ahmed Sékou Touré International Airport"
"CKZ","Canakkale Airport"
"CLA","Comilla Airport"
"CLD","McClellan-Palomar Airport"
"CLE","Cleveland Hopkins International Airport"
"CLG","New Coalinga Municipal Airport"
"CLH","Coolah Airport"
"CLI","Clintonville Municipal Airport"
"CLJ","Cluj-Napoca International Airport"
"CLK","Clinton Regional Airport"
"CLL","Easterwood Airport (Easterwood Field)"
"CLM","William R. Fairchild International Airport"
"CLN","Carolina Airport"
"CLO","Alfonso Bonilla Aragon International Airport"
"CLP","Clarks Point Airport"
"CLQ","Licenciado Miguel de la Madrid Airport"
"CLR","Cliff Hatfield Memorial Airport"
"CLS","Chehalis-Centralia Airport"
"CLT","Charlotte Douglas International Airport"
"CLU","Columbus Municipal Airport"
"CLV","Caldas Novas Airport"
"CLW","Clearwater Air Park"
"CLX","Clorinda Airport"
"CLY","Calvi - Sainte-Catherine Airport"
"CLZ","Calabozo Airport"
"CMA","Cunnamulla Airport"
"CMB","Bandaranaike International Airport"
